tconst	isAdult	startYear	genres	runtimeMinutes	averageRating	directors	writers
tt0385880	0	2006	Animation,Comedy,Family	91	6.7	nm1481493	nm1363595,nm1041479,nm0972040
tt0385887	0	2019	Crime,Drama,Mystery	144	6.8	nm0001570	nm0001570,nm0504672
tt0385890	0	2005	Comedy	80	3.2	nm0957454	nm0330730,nm1290533
tt0385891	0	2004	Comedy,Romance	88	4.8	nm0314863	nm0673297,nm0314863,nm0433474
tt0385928	0	2002	Comedy,Drama	150	8.2	nm0433893	nm0352032,nm1190372,nm0433893,nm5635145
tt0385969	0	2004	Drama,Thriller	95	5.2	nm0846070	nm1860653
tt0385988	0	2006	Adventure,Family,Musical	82	3.6	nm0459170	nm1044435,nm0342278,nm0342303
tt0385990	0	2004	Action,Sci-Fi	93	3.2	nm0474566	nm0474566,nm0716135,nm0193181
tt0386005	0	2004	Action,Crime,Thriller	123	6.9	nm0150802	nm0950701
tt0386032	0	2007	Documentary,Drama	123	8.0	nm0601619	nm0601619
tt0386038	0	2004	Crime,Thriller	116	7.4	nm0613996	nm0613996,nm0352780,nm0352028
tt0386064	0	2004	Action,Drama,War	140	8.0	nm0437625	nm0437625,nm3719468,nm3719540
tt0386117	0	2009	Adventure,Drama,Family	101	6.7	nm0005069	nm0005069,nm1101630,nm0784124
tt0386140	0	2005	Action,Adventure,Romance	129	6.0	nm0132709	nm0649460,nm0476064,nm0254645,nm0744429,nm0191547
tt0386342	0	2004	Drama,War	117	7.5	nm0081540	nm0081540,nm0421314
tt0386423	0	2005	Action,Adventure,Documentary	97	7.3	nm1440144	nm1440144
tt0386428	0	2003	Comedy,Drama,Family	115	6.7	nm1671974	nm1672140,nm1672141
tt0386504	0	2004	Crime,Drama	115	5.7	nm1248193	nm1248193
tt0386588	0	2005	Comedy,Romance	118	6.6	nm0855035	nm1358355
tt0386650	0	2002	Drama,Romance	148	7.7	nm1417119	\N
tt0386651	0	2004	Action,Drama	90	7.6	nm1283651	nm1283651
tt0386669	0	2004	Drama,History,Romance	143	5.3	nm0064394	nm0082582
tt0386695	0	2004	Comedy	85	4.6	nm1096212,nm1288611,nm4767266	nm0220798,nm3951121,nm1557889,nm1122940,nm15686386,nm0949210,nm1552771
tt0386741	0	2006	Action,Animation,Sci-Fi	105	6.6	nm1466691	nm0478799,nm1141181,nm0441301,nm0693898,nm0713412
tt0386751	0	2005	Drama,Mystery,Thriller	99	5.7	nm0932216	nm0388805,nm0437287
tt0386820	0	2004	Animation,Comedy,Musical	77	7.1	nm1601862,nm1580685,nm0280745	nm1272499,nm1232670,nm0478172,nm0280745,nm2770848
