tconst	primaryTitle	genres	isAdult	averageRating	directors	writers
tt0027884	Libeled Lady	Comedy,Romance	0	7.8	nm0176699	nm0914362,nm0736911,nm0649183,nm0838395
tt0027893	Little Lord Fauntleroy	Drama,Family	0	7.3	nm0188669	nm0122364,nm0909484,nm0188669,nm0770337
tt0027948	Mary of Scotland	Biography,Drama,History	0	6.3	nm0000406,nm0329574	nm0629580,nm0027173,nm0644420
tt0027977	Modern Times	Comedy,Drama,Romance	0	8.5	nm0000122	nm0000122
tt0027996	Mr. Deeds Goes to Town	Comedy,Drama,Romance	0	7.8	nm0001008	nm0728307,nm0445502
tt0028010	My Man Godfrey	Comedy,Drama,Romance	0	7.9	nm0478441	nm0753452,nm0368719,nm0015399,nm0478441,nm0696190
tt0028212	Sabotage	Crime,Thriller	0	7.0	nm0000033	nm0175676,nm0071657,nm0067308,nm0801026,nm0256532
tt0028216	San Francisco	Drama,Music,Romance	0	7.1	nm0886754	nm0002616,nm0394267,nm0542534
tt0028231	Secret Agent	Crime,Drama,Mystery	0	6.4	nm0000033	nm0228776,nm0560857,nm0071657,nm0067308,nm0489679
tt0028333	Swing Time	Comedy,Musical,Romance	0	7.5	nm0828419	nm0512231,nm0778818,nm0312510,nm0391750,nm0416861,nm0637610,nm0892044,nm0949130
tt0028346	Reefer Madness	Comedy,Crime,Drama	0	3.7	nm0309163	nm0574966,nm0388554,nm0291515
tt0028510	Winds of the Wasteland	Drama,Western	0	6.0	nm0942611	nm0688853
tt0028597	The Awful Truth	Comedy,Romance	0	7.7	nm0564970	nm0217568,nm0725017,nm0118227
tt0028683	Camille	Drama,Romance	0	7.3	nm0002030	nm0015399,nm0547966,nm0385264,nm0241414,nm0460130,nm0933133
tt0028691	Captains Courageous	Adventure,Drama,Family	0	7.9	nm0281808	nm0456017,nm0536941,nm0175091,nm0886861,nm0453311,nm0460130,nm4724192
tt0028772	A Day at the Races	Comedy,Family,Musical	0	7.5	nm0939992	nm0685265,nm0780833,nm0649183,nm0090213,nm0330390,nm0442151,nm0933133
tt0028944	The Good Earth	Drama,Romance	0	7.5	nm0291548,nm0281808,nm0532561,nm0939992	nm0421255,nm0805756,nm0921995,nm0118406,nm0547966
tt0028950	The Grand Illusion	Drama,War	0	8.1	nm0719756	nm0816458,nm0719756
tt0028988	Heidi	Drama,Family,Musical	0	7.2	nm0245385	nm0819983,nm0274923,nm0430756
tt0029081	King Solomon's Mines	Action,Adventure,Family	0	6.3	nm0829038,nm0054787	nm0353584,nm0389580,nm0675729,nm0071657,nm0712653,nm0817809
tt0029146	The Life of Emile Zola	Biography,Drama	0	7.1	nm0226189	nm0706993,nm0378431,nm0378773,nm0430763
tt0029162	Lost Horizon	Adventure,Drama,Fantasy	0	7.6	nm0001008	nm0728307,nm0385264,nm0118227
tt0029192	Make Way for Tomorrow	Drama,Romance	0	8.1	nm0564970	nm0217568,nm0492854,nm0495259,nm0495270,nm0732209
tt0029284	My Favorite Wife	Comedy,Romance	0	7.2	nm0437717	nm0818415,nm0818416,nm0564970,nm0437717,nm0565609,nm0855139
tt0029453	Pépé le Moko	Crime,Drama,Romance	0	7.7	nm0245213	nm0038837,nm0245213,nm0176008,nm0419986
tt0029546	Shall We Dance	Comedy,Musical,Romance	0	7.4	nm0762263	nm0778818,nm0656039,nm0938439,nm0517216,nm0118214,nm0152157,nm0332905,nm0636002
tt0029583	Snow White and the Seven Dwarfs	Adventure,Animation,Family	0	7.6	nm0183183,nm0359457,nm0414144,nm0604392,nm0668998,nm0789313	nm0342278,nm0342303,nm0780799,nm0187232,nm0257481,nm0725439,nm0403319,nm0210112,nm0087490,nm0810324
tt0029604	Stage Door	Comedy,Drama,Romance	0	7.7	nm0478441	nm0753452,nm0892044,nm0272209,nm0442151,nm0491076,nm0574112,nm0780833
tt0029606	A Star Is Born	Drama,Romance	0	7.3	nm0920074,nm0176699,nm0281808	nm0662213,nm0132180,nm0308604,nm0920074,nm0006388,nm0372942,nm0488057,nm0536941,nm0775977,nm0820700
tt0029808	You Only Live Once	Crime,Drama,Film-Noir	0	7.2	nm0000485	nm0869999,nm0048305
tt0029843	The Adventures of Robin Hood	Action,Adventure,Romance	0	7.9	nm0002031,nm0445033	nm0706993,nm0589316,nm0500284
tt0029850	Alexander Nevsky	Action,Biography,Drama	0	7.5	nm0001178,nm0890565	nm0001178,nm0667698
tt0029870	Angels with Dirty Faces	Crime,Drama,Film-Noir	0	7.9	nm0002031	nm0923333,nm0240417,nm0114602,nm0372942,nm0531269
tt0029942	Boys Town	Biography,Drama,Family	0	7.2	nm0851537	nm0576046,nm0770196,nm0341178,nm0591774
tt0029947	Bringing Up Baby	Comedy	0	7.8	nm0001328	nm0629580,nm0928444
tt0029992	A Christmas Carol	Drama,Family,Fantasy	0	7.5	nm0547446	nm0002042,nm0124947
tt0030241	Holiday	Comedy,Romance	0	7.7	nm0002030	nm0829330,nm0118227,nm0058129
tt0030287	Jezebel	Drama,Romance	0	7.4	nm0943758	nm0728002,nm0277874,nm0001379,nm0205244,nm0118758,nm0248994
tt0030341	The Lady Vanishes	Crime,Drama,Mystery	0	7.7	nm0000033	nm0924781,nm0319148,nm0490950
tt0030637	Pygmalion	Comedy,Drama,Romance	0	7.7	nm0002190,nm0001366	nm0789737,nm0513744,nm0507021,nm0198202,nm0344645,nm0909727
tt0030993	You Can't Take It with You	Comedy,Drama,Romance	0	7.8	nm0001008	nm0728307,nm0442151,nm0366454
tt0031047	Another Thin Man	Comedy,Crime,Mystery	0	7.3	nm0886754	nm0329304,nm0352443,nm0358591,nm0002616
tt0031060	At the Circus	Comedy,Musical	0	6.8	nm0125636	nm0106505,nm0000036,nm0821716
tt0031210	Dark Victory	Drama,Romance	0	7.4	nm0332539	nm0732452,nm0108108,nm0088602
tt0031225	Destry Rides Again	Comedy,Western	0	7.6	nm0550892	nm0413519,nm0700717,nm0616730,nm0062738
tt0031381	Gone with the Wind	Drama,Romance,War	0	8.2	nm0281808	nm0593565,nm0397608,nm0308177,nm0372942,nm0842485,nm0886668,nm16457464
tt0031385	Goodbye, Mr. Chips	Drama,Romance	0	7.9	nm0939992,nm0291548	nm0792670,nm0921995,nm0556178,nm0385264
tt0031397	Gulliver's Travels	Adventure,Animation,Comedy	0	6.6	nm0281487,nm0101466,nm0130725,nm0186276,nm0377431,nm0396043,nm0426322,nm0446041,nm0460667,nm0498984,nm0622451,nm0658476	nm0842605,nm0786545,nm0330106,nm0397175,nm0682481,nm0816917
tt0031398	Gunga Din	Adventure,Comedy,War	0	7.2	nm0828419	nm0768540,nm0347451,nm0372942,nm0531269,nm0456017,nm0001203,nm0169556,nm0173303,nm0493071,nm0629580,nm0726542,nm0892044
tt0031455	The Hunchback of Notre Dame	Drama,Romance	0	7.8	nm0226189	nm0397022,nm0290863,nm0401076
tt0031505	Jamaica Inn	Adventure,Crime,Drama	0	6.3	nm0000033	nm0238898,nm0319148,nm0365661,nm0697362
tt0031580	The Little Princess	Comedy,Drama,Family	0	7.1	nm0485943,nm0782682	nm0384248,nm0274923,nm0122364
tt0031593	Love Affair	Comedy,Drama,Romance	0	7.3	nm0564970	nm0202681,nm0829330,nm0186118,nm0564970,nm0067103
tt0031679	Mr. Smith Goes to Washington	Comedy,Drama	0	8.1	nm0001008	nm0118227,nm0287931,nm0175333
tt0031725	Ninotchka	Comedy,Romance	0	7.8	nm0523932	nm0102818,nm0000697,nm0281556,nm0501872
